0,1
1,4
2,9
3,13
4,22
5,31
6,44
7,54
8,73
9,88
10,112
11,129
12,154
13,170
14,203
15,223
16,259
17,281
18,316
19,343
20,383
21,411
22,455
23,485
24,536
25,568
26,635
27,661
28,741
29,769
30,841
31,880
32,953
33,1001
34,1072
35,1134
36,1197
37,1257
38,1329
39,1397
40,1475
41,1545
42,1626
43,1693
44,1782
45,1857
46,1941
47,2014
48,2112
49,2192
50,2290
51,2376
52,2468
53,2553
54,2644
55,2745
56,2850
57,2952
58,3053
59,3158
60,3264
61,3371
62,3507
63,3624
64,3770
65,3885
66,4034
67,4153
68,4306
69,4394
70,4556
71,4632
72,4813
73,4887
74,5071
75,5146
76,5350
77,5428
78,5632
79,5713
80,5930
81,6015
82,6219
83,6308
84,6529
85,6616
86,6847
87,6930
88,7158
89,7251
90,7472
91,7581
92,7803
93,7916
94,8151
95,8263
96,8483
97,8612
98,8827
99,8970
100,9188
101,9342
102,9553
103,9714
104,9912
105,10087
106,10288
107,10470
108,10672
109,10864
110,11065
111,11265
112,11461
113,11671
114,11868
115,12074
116,12278
117,12492
118,12699
119,12892
120,13109
121,13316
122,13534
123,13748
124,13967
125,14203
126,14424
127,14660
128,14883
129,15115
130,15343
131,15574
132,15801
133,16041
134,16283
135,16517
136,16763
137,17009
138,17251
139,17502
140,17735
141,18005
142,18237
143,18498
144,18735
145,19014
146,19257
147,19522
148,19777
149,20045
150,20308
151,20584
152,20840
153,21128
154,21370
155,21672
156,21910
157,22243
158,22464
159,22821
160,23039
161,23400
162,23623
163,23985
164,24212
165,24569
166,24804
167,25164
168,25396
169,25762
170,26010
171,26390
172,26623
173,27011
174,27228
175,27644
176,27877
177,28261
178,28499
179,28900
180,29145
181,29552
182,29812
183,30200
184,30446
185,30826
186,31101
187,31498
188,31773
189,32160
190,32445
191,32831
192,33128
193,33551
194,33906
195,34354
196,34700
197,35143
198,35492
199,35939
200,36222
201,36650
202,36901
203,37368
204,37618
205,38081
206,38332
207,38833
208,39081
209,39575
210,39825
211,40357
212,40608
213,41117
214,41370
215,41897
216,42146
217,42693
218,42929
219,43466
220,43722
221,44239
222,44526
223,45046
224,45333
225,45864
226,46146
227,46656
228,46963
229,47466
230,47795
231,48301
232,48637
233,49137
234,49483
235,49946
236,50326
237,50782
238,51176
239,51627
240,52036
241,52481
242,52909
243,53337
244,53779
245,54207
246,54639
247,55081
248,55524
249,55964
250,56370
251,56830
252,57258
253,57714
254,58152
255,58602
256,59082
257,59534
258,60011
259,60462
260,60928
261,61386
262,61847
263,62298
264,62773
265,63253
266,63712
267,64195
268,64674
269,65148
270,65631
271,66082
272,66598
273,67045
274,67542
275,68000
276,68525
277,68991
278,69485
279,69973
280,70474
281,70973
282,71485
283,71969
284,72501
285,72955
